t,rbank
2019-08-15,-0.08%
2019-08-16,-0.24%
2019-08-19,0.45%
2019-08-20,-0.17%
2019-08-21,-0.31%
2019-08-22,-0.16%
2019-08-23,1.13%
2019-08-26,-1.72%
2019-08-27,0.40%
2019-08-28,-0.84%
2019-08-29,-0.64%
2019-08-30,0.25%
2019-09-02,0.55%
2019-09-03,-0.07%
2019-09-04,1.57%
2019-09-05,1.23%
2019-09-06,0.66%
2019-09-09,-0.35%
2019-09-10,-0.40%
2019-09-11,0.75%
2019-09-12,0.41%
2019-09-16,-0.54%
2019-09-17,-1.24%
2019-09-18,0.07%
2019-09-19,0.14%
2019-09-20,0.50%
2019-09-23,-0.94%
2019-09-24,-0.17%
2019-09-25,0.48%
2019-09-26,1.41%
2019-09-27,0.09%
2019-09-30,-0.96%
2019-10-08,1.31%
2019-10-09,1.08%
2019-10-10,-0.07%
2019-10-11,2.03%
2019-10-14,1.91%
2019-10-15,0.17%
2019-10-16,-0.35%
2019-10-17,-0.17%
2019-10-18,-1.55%
2019-10-21,1.18%
2019-10-22,-0.38%
2019-10-23,-0.03%
2019-10-24,1.08%
2019-10-25,-0.27%
2019-10-28,-0.64%
2019-10-29,-0.24%
2019-10-30,-0.37%
2019-10-31,-0.48%
2019-11-01,2.10%
2019-11-04,0.59%
2019-11-05,1.12%
2019-11-06,0.35%
2019-11-07,-0.26%
2019-11-08,-1.23%
2019-11-11,-1.51%
2019-11-12,0.17%
2019-11-13,-0.43%
2019-11-14,-0.55%
2019-11-15,0.05%
2019-11-18,1.20%
2019-11-19,-0.05%
2019-11-20,-1.84%
2019-11-21,-0.26%
2019-11-22,-0.37%
2019-11-25,1.18%
2019-11-26,-0.63%
2019-11-27,0.15%
2019-11-28,-0.38%
2019-11-29,-0.65%
2019-12-02,0.08%
2019-12-03,0.38%
2019-12-04,-0.53%
2019-12-05,0.49%
2019-12-06,0.10%
2019-12-09,-0.17%
2019-12-10,-0.37%
2019-12-11,1.07%
2019-12-12,-0.24%
2019-12-13,1.97%
2019-12-16,-0.28%
2019-12-17,1.33%
2019-12-18,0.17%
2019-12-19,0.14%
2019-12-20,-0.02%
2019-12-23,-1.07%
2019-12-24,0.60%
2019-12-25,-0.46%
2019-12-26,0.75%
2019-12-27,0.12%
2019-12-30,-0.11%
2019-12-31,-0.12%
2020-01-02,1.67%
2020-01-03,0.31%
2020-01-06,-0.69%
2020-01-07,0.45%
2020-01-08,-1.62%
2020-01-09,0.55%
2020-01-10,0.00%
2020-01-13,0.24%
2020-01-14,-0.23%
2020-01-15,-1.10%
2020-01-16,-0.67%
2020-01-17,-0.01%
2020-01-20,0.50%
2020-01-21,-1.39%
2020-01-22,-0.07%
2020-01-23,-2.44%
2020-02-03,-6.71%
2020-02-04,2.05%
2020-02-05,-0.07%
2020-02-06,0.70%
2020-02-07,-0.44%
2020-02-10,-0.48%
2020-02-11,1.06%
2020-02-12,0.11%
2020-02-13,-0.80%
2020-02-14,0.91%
2020-02-17,1.72%
2020-02-18,-1.01%
2020-02-19,-0.02%
2020-02-20,1.22%
2020-02-21,-0.34%
2020-02-24,-1.22%
2020-02-25,-0.99%
2020-02-26,0.35%
2020-02-27,0.49%
2020-02-28,-2.67%
2020-03-02,1.82%
2020-03-03,0.19%
2020-03-04,0.20%
2020-03-05,2.57%
2020-03-06,-1.58%
2020-03-09,-2.55%
2020-03-10,1.07%
2020-03-11,-0.86%
2020-03-12,-0.58%
2020-03-13,-1.12%
2020-03-16,-2.94%
2020-03-17,-0.21%
2020-03-18,-2.33%
2020-03-19,-2.95%
2020-03-20,2.34%
2020-03-23,-2.25%
2020-03-24,2.62%
2020-03-25,1.68%
2020-03-26,0.63%
2020-03-27,0.33%
2020-03-30,-0.30%
2020-03-31,-1.13%
2020-04-01,-0.08%
2020-04-02,0.64%
2020-04-03,-0.67%
2020-04-07,1.16%
2020-04-08,-0.59%
2020-04-09,-0.01%
2020-04-10,-0.04%
2020-04-13,-0.69%
2020-04-14,1.19%
2020-04-15,-0.54%
2020-04-16,-0.30%
2020-04-17,0.85%
2020-04-20,-0.33%
2020-04-21,-0.41%
2020-04-22,-0.05%
2020-04-23,-0.33%
2020-04-24,-0.28%
2020-04-27,1.84%
2020-04-28,0.29%
2020-04-29,2.35%
2020-04-30,0.25%
2020-05-06,-1.09%
2020-05-07,-0.52%
2020-05-08,0.98%
2020-05-11,-0.02%
2020-05-12,-0.77%
2020-05-13,-0.07%
2020-05-14,-1.08%
2020-05-15,-0.08%
2020-05-18,0.10%
2020-05-19,0.65%
2020-05-20,0.49%
2020-05-21,-0.29%
2020-05-22,-1.86%
